"",min-latency,avg-latency,max-latency,memory,results,queries,observations
1,775.2533333333333,1345.561575956831,2976.9654289372597,73.8244388286884,895,50,1160
2,1242.6349206349207,3779.602605741113,5893.179632248939,82.09952735900879,1587,50,2937
3,5387.474576271186,5244.710450107784,6204.535519125683,85.56279373168945,1546,50,4693
4,4483.226936026936,4614.862905723448,5971.103448275862,86.22815068562825,1485,50,6460
5,4583.344618055556,4493.599846868133,5434.54609929078,89.74806912740071,1377,50,8227
6,3897.5409836065573,4841.760086078965,6733.194353250165,91.86608759562175,1523,50,9994
7,4669.533180778032,4771.055859095614,6603.3557692307695,93.37769317626953,1397,50,11761
8,5938.908925318761,6283.110524599214,8805.181818181818,95.95172373453777,1647,50,13538
9,3941.09375,4531.747066569734,5262.892569382274,97.17611440022786,1197,50,15305
10,5640.347394540943,6256.686379269139,8237.751219512194,98.10348192850749,1612,50,17083
11,4216.669117647059,4567.794986060411,5502.002652519894,100.57957458496094,1288,50,18852
12,2469.731707317073,3474.290267657714,4386.621155288823,102.03604698181152,1333,50,20651
13,4383.662222222222,4266.714089971721,5521.622047244095,106.8806603749593,1254,50,22463
14,3973.021505376344,4830.75997676132,5643.723404255319,108.78624979654948,1222,50,24231
""
579,483
1158,944
1737,1173
2316,1422
2895,1602
3474,1820
4053,1802
4632,1655
5211,1398
5790,1313
6369,1027
6948,833
7527,634
8106,553
8685,801
9264,809
9843,824
10422,947
11001,643
11580,1593
