"",min-latency,avg-latency,max-latency,memory,results,queries,observations
1,344.655,567.259359790108,1399.3,37.927596459021935,400,20,413
2,69.49391480730223,113.88194264965527,184.47368421052633,55.872938791910805,986,30,1431
3,21.994617868675995,23.30879322108359,40.851063829787236,58.28293482462565,1022,30,2486
4,27.806451612903224,43.68123526575847,66.79061371841155,60.434104919433594,1020,30,3542
5,37.795698924731184,68.66280491355461,86.36969696969697,63.34264246622721,1007,30,4583
6,116.45516304347827,113.28939718613036,129.11764705882354,64.40501403808594,1001,30,5620
7,81.10752688172043,125.04084654771674,148.86189516129033,66.55414009094238,992,30,6648
8,184.7027027027027,184.55336609976084,225.2051915945612,71.5940450032552,987,30,7667
9,153.3507462686567,163.04663580688603,213.6451612903226,70.80143547058105,983,30,8685
10,168.45038167938932,179.47798985492113,218.42589118198873,73.32003784179688,967,30,9684
11,120.41573033707866,177.33309684845383,238.0631970260223,75.48091570536296,965,30,10688
12,235.10180623973727,252.95100708837563,390.8390804597701,78.46724319458008,971,30,11687
13,169.0,229.26975080073066,296.2784222737819,79.36294619242351,949,30,12659
14,273.7684989429176,352.4470858667864,713.4945054945055,83.92578125,946,30,13629
""
25,12886
50,496
75,147
100,55
125,17
150,20
175,23
200,7
225,14
250,7
275,10
300,6
325,5
350,3
375,7
400,3
425,4
450,7
475,9
500,1503
