time,message_cnt,byte_cnt
03:08:57,1,448
03:09:02,2,910
03:09:07,3,1372
03:09:12,4,1823
03:09:17,5,2285
03:09:23,6,2747
03:09:28,7,3209
03:09:33,8,3670
03:09:38,9,4131
03:09:43,10,4593
03:09:48,11,5055
03:09:53,12,5517
03:09:58,13,5979
03:10:03,14,6441
03:10:08,15,6903
03:10:13,16,7351
03:10:18,17,7799
03:10:23,18,8261
03:10:28,19,8723
03:10:33,20,9171
03:10:38,21,9619
03:10:43,22,10081
03:10:48,23,10543
03:10:53,24,10991
03:10:58,25,11453
03:11:03,26,11901
03:11:08,27,12349
03:11:13,28,12797
03:11:18,29,13259
03:11:23,30,13721
03:11:28,31,14183
03:11:33,32,14645
03:11:38,33,15107
03:11:43,34,15555
03:11:48,35,16017
03:11:53,36,16465
03:11:58,37,16913
03:12:03,38,17375
03:12:08,39,17823
03:12:13,40,18285
03:12:18,41,18747
03:12:23,42,19209
03:12:28,43,19671
03:12:33,44,20133
03:12:38,45,20595
03:12:43,46,21057
03:12:48,47,21519
03:12:53,48,21981
03:12:58,49,22443
03:13:03,50,22905
03:13:08,51,23367
03:13:13,52,23829
03:13:18,53,24291
03:13:23,54,24739
03:13:28,55,25201
03:13:33,56,25663
03:13:38,57,26125
03:13:43,58,26587
03:13:48,59,27049
03:13:53,60,27511
03:13:58,61,27973
03:14:03,62,28435
03:14:08,63,28897
03:14:13,64,29359
03:14:18,65,29821
03:14:23,66,30283
03:14:28,67,30745
03:14:33,68,31207
03:14:38,69,31668
03:14:43,70,32130
03:14:48,71,32592
03:14:53,72,33054
03:14:59,73,33516
03:15:04,74,33978
03:15:09,75,34426
03:15:14,76,34888
03:15:19,77,35350
03:15:24,78,35812
03:15:29,79,36274
03:15:34,80,36736
03:15:39,81,37198
03:15:44,82,37660
03:15:49,83,38122
03:15:54,84,38573
03:15:59,85,39035
03:16:04,86,39497
03:16:09,87,39946
03:16:14,88,40394
03:16:19,89,40856
03:16:24,90,41318
03:16:29,91,41780
03:16:34,92,42242
03:16:39,93,42704
03:16:44,94,43155
03:16:49,95,43606
03:16:54,96,44068
03:16:59,97,44516
03:17:04,98,44977
03:17:09,99,45439
03:17:14,100,45901
03:17:19,101,46363
03:17:24,102,46825
03:17:29,103,47287
03:17:34,104,47749
03:17:39,105,48197
03:17:44,106,48659
03:17:49,107,49109
03:17:54,108,49559
03:17:59,109,50007
03:18:04,110,50455
03:18:09,111,50917
03:18:14,112,51364
03:18:19,113,51825
03:18:24,114,52286
03:18:29,115,52748
03:18:34,116,53210
03:18:39,117,53672
03:18:44,118,54134
03:18:49,119,54596
03:18:54,120,55058
03:18:59,121,55506
03:19:04,122,55954
03:19:09,123,56415
03:19:14,124,56876
03:19:19,125,57338
03:19:24,126,57800
03:19:29,127,58262
03:19:34,128,58724
03:19:39,129,59185
03:19:44,130,59647
03:19:49,131,60109
03:19:54,132,60571
03:19:59,133,61033
03:20:04,134,61494
03:20:09,135,61955
03:20:14,136,62416
03:20:19,137,62877
03:20:24,138,63338
03:20:29,139,63800
03:20:34,140,64262
03:20:39,141,64724
03:20:44,142,65186
03:20:49,143,65648
03:20:54,144,66110
03:20:59,145,66572
03:21:04,146,67034
03:21:09,147,67496
03:21:14,148,67958
03:21:19,149,68420
03:21:24,150,68882
03:21:29,151,69344
03:21:34,152,69806
03:21:39,153,70268
03:21:44,154,70730
03:21:49,155,71192
03:21:54,156,71654
03:21:59,157,72116
03:22:04,158,72578
03:22:09,159,73040
03:22:14,160,73502
03:22:19,161,73964
03:22:24,162,74426
03:22:29,163,74888
03:22:34,164,75350
03:22:39,165,75812
03:22:44,166,76274
03:22:49,167,76736
03:22:54,168,77198
03:22:59,169,77660
03:23:04,170,78122
03:23:09,171,78584
03:23:14,172,79046
03:23:19,173,79508
03:23:24,174,79970
03:23:29,175,80432
03:23:34,176,80894
03:23:39,177,81356
03:23:44,178,81818
03:23:49,179,82280
03:23:55,180,82742
03:24:00,181,83204
03:24:05,182,83666
03:24:10,183,84128
03:24:15,184,84590
03:24:20,185,85052
03:24:25,186,85514
03:24:30,187,85976
03:24:35,188,86438
03:24:40,189,86900
03:24:45,190,87362
03:24:50,191,87824
