time,message_cnt,byte_cnt
03:09:02,1,2483
03:09:07,1,2483
03:09:12,3,7502
03:09:17,4,10014
03:09:23,5,12538
03:09:28,6,15048
03:09:33,7,17571
03:09:38,8,20078
03:09:43,9,22589
03:09:48,10,25112
03:09:53,11,27607
03:09:58,12,30104
03:10:03,13,32615
03:10:08,14,35112
03:10:13,15,37611
03:10:18,16,40108
03:10:23,17,42617
03:10:28,18,45126
03:10:33,19,47647
03:10:38,20,50156
03:10:43,21,52666
03:10:48,22,55176
03:10:53,23,57686
03:10:58,24,60193
03:11:03,25,62715
03:11:08,26,65210
03:11:13,27,67719
03:11:18,28,70229
03:11:23,29,72738
03:11:28,30,75260
03:11:33,31,77782
03:11:38,32,80303
03:11:43,33,82826
03:11:48,34,85322
03:11:53,35,87818
03:11:58,36,90300
03:12:03,37,92796
03:12:08,38,95291
03:12:13,39,97800
03:12:18,40,100321
03:12:23,41,102831
03:12:28,42,105327
03:12:33,43,107837
03:12:38,44,110346
03:12:43,45,112868
03:12:48,46,115391
03:12:53,47,117889
03:12:58,48,120400
03:13:03,49,122909
03:13:08,50,125418
03:13:13,51,127927
03:13:18,52,130436
03:13:23,53,132945
03:13:28,54,135441
03:13:33,55,137950
03:13:38,56,140460
03:13:43,57,142970
03:13:48,58,145479
03:13:53,59,147980
03:13:59,60,150488
03:14:04,61,152985
03:14:09,62,155483
03:14:14,63,157993
03:14:19,64,160502
03:14:24,65,163010
03:14:29,66,165520
03:14:34,67,168029
03:14:39,68,170525
03:14:44,69,173034
03:14:49,70,175543
03:14:54,71,178041
03:14:59,72,180550
03:15:04,73,183059
03:15:09,74,185582
03:15:14,75,188091
03:15:19,76,190613
03:15:24,77,193135
03:15:29,78,195658
03:15:34,79,198181
03:15:39,80,200691
03:15:44,81,203200
03:15:49,82,205710
03:15:54,83,208220
03:15:59,84,210707
03:16:04,85,213216
03:16:09,86,215725
03:16:14,87,218222
03:16:19,88,220717
03:16:24,89,223200
03:16:29,90,225710
03:16:34,91,228219
03:16:39,92,230716
03:16:44,93,233240
03:16:49,94,235739
03:16:54,95,238252
03:16:59,96,240776
03:17:04,97,243286
03:17:09,98,245795
03:17:14,99,248305
03:17:19,100,250815
03:17:24,101,253323
03:17:29,102,255832
03:17:34,103,258327
03:17:39,104,260837
03:17:44,105,263333
03:17:49,106,265843
03:17:54,107,268341
03:17:59,108,270826
03:18:04,109,273321
03:18:09,110,275816
03:18:14,111,278326
03:18:19,112,280835
03:18:24,113,283344
03:18:29,114,285853
03:18:34,115,288362
03:18:39,116,290886
03:18:44,117,293410
03:18:49,118,295934
03:18:54,119,298449
03:18:59,120,300973
03:19:04,121,303483
03:19:09,122,305993
03:19:14,123,308504
03:19:19,124,311027
03:19:24,125,313538
03:19:29,126,316062
03:19:34,127,318570
03:19:40,128,321079
03:19:45,129,323588
03:19:50,130,326097
03:19:55,131,328607
03:20:00,132,331116
03:20:05,133,333640
03:20:10,134,336161
03:20:15,135,338682
03:20:20,136,341203
03:20:25,137,343723
03:20:30,138,346243
03:20:35,139,348764
03:20:40,140,351285
03:20:45,141,353793
03:20:50,142,356314
03:20:55,143,358826
03:21:00,144,361335
03:21:05,145,363844
03:21:10,146,366353
03:21:15,147,368862
03:21:20,148,371383
03:21:25,149,373904
03:21:30,150,376425
03:21:35,151,378946
03:21:40,152,381467
03:21:45,153,383988
03:21:50,154,386509
03:21:55,155,389021
03:22:00,156,391542
03:22:05,157,394063
03:22:10,158,396584
03:22:15,159,399105
03:22:20,160,401625
03:22:25,161,404145
03:22:30,162,406665
03:22:35,163,409185
03:22:40,164,411705
03:22:45,165,414225
03:22:50,166,416744
03:22:55,167,419263
03:23:00,168,421782
03:23:05,169,424301
03:23:10,170,426820
03:23:15,171,429339
03:23:20,172,431858
03:23:25,173,434377
03:23:30,174,436896
03:23:35,175,439416
03:23:40,176,441936
03:23:45,177,444456
03:23:50,178,446976
03:23:55,179,449496
03:24:00,180,452016
03:24:05,181,454536
03:24:10,182,457057
03:24:15,183,459578
03:24:20,184,462099
03:24:25,185,464620
03:24:30,186,467141
03:24:35,187,469662
03:24:40,188,472183
03:24:45,189,474704
03:24:50,190,477225
03:24:55,191,479746
03:25:00,192,482267
03:25:05,193,484788
03:25:11,194,487309
03:25:16,195,489822
03:25:21,196,492328
03:25:26,197,494834
03:25:31,198,497341
03:25:36,199,499834
03:25:41,200,502327
03:25:46,201,504811
03:25:51,202,507295
03:25:56,203,509779
03:26:01,204,512272
03:26:06,205,514778
03:26:11,206,517276
03:26:16,207,519783
03:26:21,208,522282
03:26:26,209,524781
03:26:31,210,527275
03:26:36,211,529783
03:26:41,212,532291
03:26:46,213,534812
03:26:51,214,537320
03:26:56,215,539827
03:27:01,216,542335
03:27:06,217,544857
03:27:11,218,547379
03:27:16,219,549901
03:27:21,220,552423
03:27:26,221,554944
03:27:31,222,557466
03:27:36,223,559987
03:27:41,224,562507
03:27:46,225,565028
03:27:51,226,567549
03:27:56,227,570056
03:28:01,228,572565
03:28:06,229,575088
03:28:11,230,577583
03:28:16,231,580091
03:28:21,232,582613
03:28:26,233,585136
03:28:31,234,587646
03:28:36,235,590142
03:28:41,236,592637
03:28:46,237,595147
03:28:51,238,597668
03:28:56,239,600154
03:29:01,240,602663
03:29:06,241,605168
03:29:11,242,607690
03:29:16,243,610214
03:29:21,244,612709
03:29:26,245,615190
03:29:31,246,617685
03:29:36,247,620194
03:29:41,248,622676
03:29:46,249,625185
03:29:51,250,627680
03:29:56,251,630189
03:30:01,252,632690
03:30:06,253,635200
03:30:11,254,637696
03:30:16,255,640205
03:30:21,256,642728
03:30:26,257,645251
03:30:31,258,647747
03:30:36,259,650243
03:30:41,260,652726
03:30:46,261,655223
03:30:51,262,657745
03:30:56,263,660268
03:31:01,264,662777
03:31:06,265,665299
03:31:11,266,667819
03:31:16,267,670340
03:31:21,268,672854
03:31:26,269,675356
03:31:31,270,677843
03:31:36,271,680343
03:31:41,272,682852
03:31:46,273,685374
03:31:51,274,687883
03:31:56,275,690392
03:32:01,276,692915
03:32:06,277,695411
03:32:11,278,697935
03:32:16,279,700444
03:32:22,280,702954
03:32:27,281,705450
03:32:32,282,707946
03:32:37,283,710470
03:32:42,284,712980
03:32:47,285,715481
03:32:52,286,718004
03:32:57,287,720527
03:33:02,288,723035
03:33:07,288,723035
