time,message_cnt,byte_cnt
03:08:57,1,448
03:09:02,2,896
03:09:08,3,1344
03:09:13,4,1806
03:09:18,5,2268
03:09:23,6,2716
03:09:28,7,3178
03:09:33,8,3639
03:09:38,9,4101
03:09:43,10,4563
03:09:48,11,5011
03:09:53,12,5472
03:09:58,13,5934
03:10:03,14,6382
03:10:08,15,6832
03:10:13,16,7282
03:10:18,17,7743
03:10:23,18,8205
03:10:28,19,8666
03:10:33,20,9127
03:10:38,21,9589
03:10:43,22,10037
03:10:48,23,10485
03:10:53,24,10946
03:10:58,25,11407
03:11:03,26,11855
03:11:08,27,12316
03:11:13,28,12778
03:11:18,29,13226
03:11:23,30,13687
03:11:28,31,14148
03:11:33,32,14609
03:11:38,33,15070
03:11:43,34,15518
03:11:48,35,15966
03:11:53,36,16414
03:11:58,37,16862
03:12:03,38,17310
03:12:08,39,17771
03:12:13,40,18232
03:12:18,41,18680
03:12:23,42,19128
03:12:28,43,19576
03:12:33,44,20024
03:12:38,45,20485
03:12:43,46,20946
03:12:48,47,21396
03:12:53,48,21846
03:12:58,49,22307
03:13:03,50,22755
03:13:08,51,23203
03:13:13,52,23651
03:13:18,53,24099
03:13:23,54,24547
03:13:28,55,24995
03:13:33,56,25443
03:13:38,57,25891
03:13:43,58,26339
03:13:48,59,26787
03:13:53,60,27235
03:13:59,61,27683
03:14:04,62,28131
03:14:09,63,28579
03:14:14,64,29027
03:14:19,65,29475
03:14:24,66,29923
03:14:29,67,30384
03:14:34,68,30832
03:14:39,69,31280
03:14:44,70,31728
03:14:49,71,32176
03:14:54,72,32624
03:14:59,73,33072
03:15:04,74,33533
03:15:09,75,33994
03:15:14,76,34455
03:15:19,77,34916
03:15:24,78,35377
03:15:29,79,35838
03:15:34,80,36299
03:15:39,81,36760
03:15:44,82,37208
03:15:49,83,37656
03:15:54,84,38104
03:15:59,85,38552
03:16:04,86,39000
03:16:09,87,39462
03:16:14,88,39910
03:16:19,89,40358
03:16:24,90,40806
03:16:29,91,41254
03:16:34,92,41702
03:16:39,93,42164
03:16:44,94,42626
03:16:49,95,43088
03:16:54,96,43550
03:16:59,97,44012
03:17:04,98,44460
03:17:09,99,44908
03:17:14,100,45356
03:17:19,101,45804
03:17:24,102,46252
03:17:29,103,46700
03:17:34,104,47148
03:17:39,105,47596
03:17:44,106,48044
03:17:49,107,48492
03:17:54,108,48940
03:17:59,109,49388
03:18:04,110,49836
03:18:09,111,50284
03:18:14,112,50746
03:18:19,113,51194
03:18:24,114,51642
03:18:29,115,52090
03:18:34,116,52552
03:18:39,117,53014
03:18:44,118,53476
03:18:49,119,53938
03:18:54,120,54400
03:18:59,121,54862
03:19:04,122,55324
03:19:09,123,55786
03:19:14,124,56248
03:19:19,125,56710
03:19:24,126,57172
03:19:29,127,57634
03:19:34,128,58096
03:19:39,129,58558
03:19:44,130,59020
03:19:49,131,59482
03:19:54,132,59944
03:19:59,133,60406
03:20:04,134,60866
03:20:09,135,61326
03:20:14,136,61786
03:20:19,137,62246
03:20:24,138,62706
03:20:29,139,63166
03:20:34,140,63626
03:20:39,141,64086
03:20:44,142,64546
03:20:49,143,65006
03:20:54,144,65466
03:20:59,145,65926
03:21:04,146,66386
03:21:09,147,66846
03:21:14,148,67306
03:21:19,149,67766
03:21:24,150,68226
03:21:29,151,68686
03:21:34,152,69146
03:21:39,153,69606
03:21:44,154,70066
03:21:49,155,70526
03:21:54,156,70986
03:21:59,157,71446
03:22:04,158,71906
03:22:09,159,72366
03:22:14,160,72826
03:22:19,161,73286
03:22:24,162,73746
03:22:29,163,74206
03:22:34,164,74666
03:22:39,165,75126
03:22:44,166,75586
03:22:49,167,76046
03:22:54,168,76506
03:22:59,169,76966
03:23:05,170,77426
03:23:10,171,77886
03:23:15,172,78346
03:23:20,173,78806
03:23:25,174,79266
03:23:30,175,79726
03:23:35,176,80186
03:23:40,177,80646
03:23:45,178,81106
03:23:50,179,81566
03:23:55,180,82026
03:24:00,181,82486
03:24:05,182,82946
03:24:10,183,83406
03:24:15,184,83866
03:24:20,185,84326
03:24:25,186,84786
03:24:30,187,85246
03:24:35,188,85706
03:24:40,189,86166
03:24:45,190,86626
03:24:50,191,87086
03:24:55,192,87546
03:25:00,193,88006
03:25:05,194,88466
03:25:10,195,88926
03:25:15,196,89386
03:25:20,197,89846
03:25:25,198,90306
03:25:30,199,90766
03:25:35,200,91226
03:25:40,201,91686
03:25:45,202,92146
03:25:50,203,92606
03:25:55,204,93066
03:26:00,205,93526
03:26:05,206,93986
03:26:10,207,94446
03:26:15,208,94906
03:26:20,209,95366
03:26:25,210,95826
03:26:30,211,96286
03:26:35,212,96746
03:26:40,213,97206
03:26:45,214,97666
03:26:50,215,98126
03:26:55,216,98586
03:27:00,217,99046
03:27:05,218,99506
03:27:10,219,99966
03:27:15,220,100426
03:27:20,221,100886
03:27:25,222,101346
03:27:30,223,101806
03:27:35,224,102266
03:27:40,225,102726
03:27:45,226,103186
03:27:50,227,103646
03:27:55,228,104107
03:28:00,229,104569
03:28:05,230,105031
03:28:10,231,105492
03:28:15,232,105953
03:28:20,233,106415
03:28:25,234,106877
03:28:30,235,107339
03:28:35,236,107800
03:28:40,237,108249
03:28:45,238,108711
03:28:50,239,109159
03:28:55,240,109607
03:29:00,241,110067
03:29:05,242,110527
03:29:10,243,110989
03:29:15,244,111437
03:29:20,245,111885
03:29:25,246,112347
03:29:30,247,112809
03:29:35,248,113257
03:29:40,249,113705
03:29:45,250,114153
03:29:50,251,114601
03:29:55,252,115049
03:30:00,253,115497
03:30:05,254,115945
03:30:10,255,116406
03:30:15,256,116867
03:30:21,257,117329
03:30:26,258,117791
03:30:31,259,118239
03:30:36,260,118687
03:30:41,261,119135
03:30:46,262,119596
03:30:51,263,120057
03:30:56,264,120518
03:31:01,265,120979
03:31:06,266,121439
03:31:11,267,121899
03:31:16,268,122361
03:31:21,269,122823
03:31:26,270,123271
03:31:31,271,123732
03:31:36,272,124193
03:31:41,273,124654
03:31:46,274,125115
03:31:51,275,125577
03:31:56,276,126038
03:32:01,277,126486
03:32:06,278,126948
03:32:11,279,127396
03:32:16,280,127844
03:32:21,281,128292
03:32:26,282,128754
03:32:31,283,129216
03:32:36,284,129664
03:32:41,285,130126
03:32:46,286,130587
03:32:51,287,131048
03:32:56,288,131509
03:33:01,289,131957
