"",p=80
0,0.45993867679722816
1,0.46327683543523446
2,0.4665137066361743
3,0.47002054090477347
4,0.4748802584134861
5,0.47989330914362127
6,0.48639220136136424
7,0.49379068782092056
8,0.5013164676796517
9,0.509834788800489
10,0.5179804557944798
11,0.5268387789819166
12,0.537230353000732
13,0.5413773107284147
14,0.544003654380933
15,0.5481973418977666
16,0.552054718903857
17,0.5572236678282129
18,0.5539833467281398
19,0.5633275328468037
20,0.558853028847246
21,0.5600526485937135
22,0.5522517569861656
23,0.5561761579751068
24,0.5650982814008467
"",10
