"",avg,min,max,bestUtility,t,gain
40,12.14927840211887,5.072540937369195,20.48390336478727,0.5552132151644584,862.2666666666667,10.3963743784471
60,13.220316008620186,5.365107836808889,19.388032115597337,0.5552132151644584,840.0333333333333,10.901727857527682
80,13.268934829438756,7.542068167299997,16.734970273878037,0.5552132151644584,876.8,9.466955490539494
100,12.198972370022181,7.00668851445994,15.57140275431207,0.5552132151644584,966.4333333333333,6.778573004050768
120,12.354615196502978,6.355330852446919,14.85144851321205,0.5552132151644584,1009.1666666666666,7.2105110487936575
140,11.513302244166693,5.42223709469575,13.884345495531411,0.5552132151644584,1099.5666666666666,6.478041474407728
160,10.221627079347563,5.052059868515567,12.37315683950092,0.5552132151644584,1235.5666666666666,5.222556267437797
180,10.337979356130257,5.822350406168816,12.143864494911098,0.5552132151644584,1212.4666666666667,5.355835354301502
200,9.994029960561436,5.242987739478081,11.502492587934153,0.5552132151644584,1282.9666666666667,4.883483078089551
300,8.054488228044208,6.091289412424068,9.090459216847476,0.5552132151644584,1619.0666666666666,3.472375709364608
500,5.742520921226144,5.076274037809014,6.297920741306752,0.5552132151644584,2302.1666666666665,2.2204375874135307
