"",avg,min,max,bestUtility,t,gain
0.1,28.090059330957217,13.231822745832101,35.64899524853619,0.5820923762071247,405.03333333333336,14.298589782981091
0.15,33.100923042583055,23.27959457935172,38.3173500997064,0.5879333618058581,317.73333333333335,17.862912237143757
0.2,29.44245841810726,21.58598725510513,36.15962738553483,0.5888607886179605,360.43333333333334,15.15480328978643
0.25,31.76576757334615,18.62557868791955,37.87621254884671,0.582211612618265,340.3,16.093014940619067
0.3,32.433530082072096,20.116969783679174,35.949404566236936,0.5790333244819444,331.8333333333333,16.442472034421773
0.35,32.92184637167154,24.91721804294283,37.31719958878098,0.5772720312044083,322.03333333333336,16.692605893540144
0.4,31.748016157168376,22.501137912879845,36.140341454954715,0.5879333618058581,334.53333333333336,15.692007447022487
0.45,30.743090348127126,19.98585550545638,37.28865359102844,0.5772720312044083,347.46666666666664,14.78951103081752
0.5,31.844244972821173,22.868184340579994,35.842025179349385,0.5879333618058581,334.76666666666665,14.18584889090254
0.55,30.813449810102192,18.042357569588223,39.13059852051572,0.5844287665652185,348.6666666666667,14.187639364036341
0.6,30.730637914235974,18.08459379325688,34.24424884056638,0.5999276619647175,350.6666666666667,13.38113027916423
0.65,31.779784489383683,25.756638435814015,34.96696177833926,0.5772720312044083,331.5,13.889139176547644
0.70,29.469925658260745,20.77336427404762,37.82353052907301,0.5888607886179605,366.6333333333333,11.878140939050168
0.75,30.196278476215756,13.61204450964589,34.26745072699289,0.5937533544043627,359.5,12.382596770887318
0.80,30.364282308381803,25.914225228101913,35.41611922111478,0.5858792450820636,347.7,12.691447793100878
0.85,30.30853939590649,20.20249390154169,35.051338035747534,0.5999276619647175,353.56666666666666,12.623099618712088
0.90,31.4637953808744,24.851855967405317,37.67815030480555,0.5999276619647175,342.9,12.628884101587785
0.95,30.557057386078032,23.978075396068203,36.58315588284038,0.5999276619647175,351.76666666666665,12.116080161939044
1.0,30.951105790817728,19.78136308555696,38.48875596687844,0.5999276619647175,350.5,12.175082548912501
