"",avg,min,max,bestUtility,t
0.0,3.6207253280807032,2.6903398279130846,4.1503879212305135,0.6068413712958213,3688.8333333333335
0.01,3.6086252483766432,2.7548726758063515,4.091188856905768,0.6073375923293968,3588.5333333333333
0.02,3.158890743050296,1.5392333320434317,3.895277981156185,0.6142153466809956,4464.8
0.03,2.9350836333943016,1.6378953734759547,3.714530737445879,0.6063653147090599,4582.7
0.04,2.9068620597732866,1.5212435899224934,3.499993132837105,0.6064375568114873,4665.1
0.05,2.8654604655046976,1.5470296787451405,3.491979384296252,0.6073375923293968,4720.366666666667
0.06,2.775736410496646,1.7030063854301392,3.4153673085623315,0.603662877792496,4985.933333333333
0.07,2.908077622430628,1.7499478664073296,3.496331683167749,0.6069293911812234,4562.533333333334
0.08,2.9059036219830667,1.5809506114422733,3.589878978046277,0.6053395594562582,4705.533333333334
0.09,2.5322583793000764,1.1247940485647259,3.407164039077621,0.6177414206422603,5719.0
0.1,2.6878410979914706,1.6871586295298766,3.6354474888215527,0.6073375923293968,5141.333333333333
0.2,2.496251810636366,1.4420203691259275,4.177570743505452,0.6553536193097168,5662.966666666666
0.5,1.9642028178517739,1.3463623197723582,2.739993788971691,0.6064375568114873,7024.3
