"",pf=100
0,0.46079066088400916
1,0.46218513129730066
2,0.4639049622748594
3,0.46548418566848515
4,0.46811575836715785
5,0.47052899075663457
6,0.47235163127497654
7,0.4746828560827248
8,0.4775370047409169
9,0.47943025971781666
10,0.48120878077970736
11,0.48393025565214404
12,0.48504302850223907
13,0.48720517174211003
14,0.48850092371235154
15,0.49025610794280755
16,0.4926361165808153
17,0.49397874097607236
18,0.49600235685176974
19,0.49745127365402947
20,0.4998859572438571
21,0.5004068462360336
22,0.5013369010422986
23,0.5024786851279656
24,0.5036173068117366
25,0.5036282945460434
26,0.5050885068845115
27,0.5067187082574625
28,0.5086338555387866
29,0.5071777603789785
30,0.5077566364752817
31,0.5092208148823809
32,0.5087637541212213
33,0.5098482411831347
34,0.511010660978565
35,0.5080131124383288
36,0.5083595154689209
37,0.509525851487124
38,0.5097344041137987
39,0.506905213430912
40,0.5083839663439995
41,0.5098894446116711
42,0.5114268046995646
43,0.5117987556670408
44,0.5129281198244535
45,0.5137770849014556
46,0.5153217339125424
47,0.5113827261163603
48,0.511215544281912
49,0.5122264652875426
50,0.5117107490350077
51,0.5130953073800321
52,0.5148571403749813
53,0.5164985042831012
54,0.5166374216283144
55,0.5175244199325999
56,0.519025998235377
57,0.5196419942252014
58,0.5193333741194078
59,0.5207573153057133
60,0.5153624106347656
61,0.5164057195552683
62,0.5131402819956967
63,0.5154460256811283
64,0.5175469915298185
65,0.5192939403473554
66,0.521367110633184
67,0.5271780212346309
68,0.5277653826113972
69,0.5270063952733077
70,0.5283364008184424
71,0.5286726087690069
72,0.5293935652479534
73,0.5289452308493874
74,0.5239866293212
75,0.5239877406404619
76,0.5252488442836302
77,0.5258952785761773
78,0.5270769385423641
79,0.5293689097972951
80,0.5311574979257644
81,0.5306361705227405
82,0.528926212879565
83,0.5292015572599407
84,0.5294521779760432
85,0.5312257465438553
86,0.5325352221805006
87,0.5319011597091332
88,0.5338554442077191
89,0.5342526765489174
90,0.5336120772423065
91,0.535180606414905
92,0.5369355830202326
93,0.5392119906954129
94,0.5393063952880979
95,0.544850854281031
96,0.5582432454812799
97,0.5583769334796274
98,0.561093376767123
99,0.5633277624641727
100,0.5642875451049392
101,0.5414182317068849
102,0.5437685912599242
103,0.5455931241019347
104,0.5440854675080733
105,0.5444889166457826
106,0.5428211845262803
107,0.5423150676530659
108,0.5480697312934746
109,0.5464985453451708
110,0.543737150970859
111,0.5446988966547793
112,0.5440907010689537
113,0.5444874819564464
114,0.5418786695723223
115,0.5425940399377166
116,0.5448561676327736
117,0.5447046367627726
118,0.5447577307343209
119,0.5466660533082105
120,0.5468283142494189
121,0.5451913207560771
122,0.5449845568780649
123,0.5455896227379453
124,0.546915122739399
125,0.5503329605430216
126,0.550233629502471
127,0.5503802665771595
128,0.5506781031880925
129,0.5502790790160113
130,0.5497904203983315
131,0.5506576356045318
132,0.5526252471165387
133,0.5536537850351522
134,0.5551565057844853
135,0.5570574887205092
136,0.5579579569086148
137,0.5572280009555743
138,0.5594521446368083
139,0.5623757356664557
"",10
0,0.531824013397352
1,0.533603481139924
2,0.5471335124416468
3,0.5583998507936342
4,0.5629029262072319
5,0.5770096735602344
6,0.5830879054522751
7,0.5822779384385407
8,0.5767191886267269
9,0.5947137782144235
10,0.6174034458541647
11,0.6420812841798929
12,0.6551894053444252
13,0.6669951605852688
14,0.6841207317872056
15,0.6981469013480065
16,0.6977939620513173
17,0.7010335942932305
18,0.7183557249358474
"",10
0,0.5487187041311893
1,0.5524718779977383
2,0.5567539499134115
3,0.5566443165784967
4,0.5697363041861109
5,0.5824402360884727
6,0.5889209934928664
7,0.5983397912024373
8,0.6035034209784582
9,0.6123543717850721
10,0.6196987411282157
11,0.6159292956777396
12,0.6315264239049829
13,0.6420318995870861
14,0.6557418646629092
15,0.667448362880425
16,0.6582056886695488
17,0.6757618726750336
18,0.6761648401125417
19,0.67071452021105
20,0.6678613551909651
21,0.6870637743622265
"",10
0,0.5100831120291403
1,0.5130145870485069
2,0.5134800758378196
3,0.5193064147264591
4,0.5356123515261564
5,0.5338696257309496
6,0.5416084892910754
7,0.5509129267654591
8,0.5526704207674554
9,0.5566078011958032
10,0.5579681518949654
11,0.5702896941409679
12,0.5795109684737432
13,0.5783367381306422
14,0.5938108154266806
15,0.5918266575910439
