"",avg,min,max,bestUtility,t,gain
0.0,12.020957360223285,4.558322679436666,19.271334963088957,0.6543358168216457,1029.5333333333333,5.228946661254511
0.01,12.094085524309993,7.399055862060445,20.05272483175432,0.6685290611754091,954.2666666666667,4.405468942619648
0.02,11.915998120566703,6.680894646301333,18.222723224660037,0.6539683521625833,1021.3,4.136261966125157
0.03,11.963898548075436,6.022776660724255,18.60094212477327,0.6704286653428658,1077.8,3.8927303132213793
0.04,13.120989108489317,7.619446647992186,18.716698374757435,0.6586481145244765,1033.8,3.8631852744733473
0.05,10.952065732850631,6.503013054510084,16.787990194281477,0.6505643773187776,1226.7,3.2408870525765594
0.06,10.116580053260748,5.841728340873717,14.518825304678925,0.6543358168216457,1290.0666666666666,2.7689821912429333
0.07,10.267258617816502,5.58259347877964,14.05628268464627,0.6575330316615328,1261.6666666666667,2.5628828604458347
0.08,11.709891463606398,7.1606423057264434,16.641909398555246,0.6628278569227987,1193.4333333333334,2.9586821717010063
0.09,12.468877624854109,6.100546120974102,17.983957837907788,0.6704286653428658,1105.8,3.0004165884714724
0.1,12.858091980719395,7.099757262139621,18.240981497252726,0.6685290611754091,1041.3333333333333,2.9762809589454577
0.2,10.02716663170789,4.8567395837655845,14.667383573814591,0.6685290611754091,1542.3,1.8887707897498889
0.5,7.366637166726324,3.5290958460224475,11.168807524949196,0.6575330316615328,2107.366666666667,1.0779921549415599
