"",avg,min,max,bestUtility,t,gain
0.1,3.118427809032293,2.2837599578492367,3.863097451336524,0.6024969362716366,3979.366666666667,10.585953097250483
0.15,3.018126793841011,1.9814952649238058,3.7740572446260288,0.5970299835958648,3973.7,10.711061508724676
0.2,2.8383514356377058,1.8372139041452995,3.6965771018907416,0.6018562835272895,4135.633333333333,9.945659941333185
0.25,3.1536066278406714,2.296776267728935,3.594370803682468,0.5963014876439654,3942.9,11.362635063413427
0.3,3.110480529021603,1.984531848437134,3.6452573800608628,0.6050507329927282,4205.133333333333,11.008543175124428
0.35,3.149229642117428,2.143979063287536,3.7931107217650526,0.6038820312955643,4029.866666666667,10.407158988848696
0.4,3.123552119748447,2.5659828323551,3.5960678413600538,0.5966940194968552,3972.4333333333334,9.98508770292043
0.45,3.1160961529044733,2.488603941243826,3.5986132884676385,0.6033575425928374,4104.866666666667,9.035324896926204
0.5,3.1879106943449242,2.2105860484195454,3.6393986209466314,0.604841604785118,4036.233333333333,9.518883219981252
0.55,3.137245700614251,2.37551260695077,3.6391976819034073,0.6053395594562582,4062.133333333333,8.334839338154083
0.6,3.2031589635091717,2.4807936964326838,3.6300186458521915,0.6035501746774317,4046.7,8.78073748906072
0.65,3.0965255651797676,2.4273069265542104,3.5244810402252424,0.6013944096915184,4093.1666666666665,8.010926740735318
0.70,3.219562320784958,2.5664159490548046,3.6902363747513385,0.6068413712958213,4069.0333333333333,8.911692712793828
0.75,3.15115082388444,2.390068578415233,3.701779416715152,0.6039415497739452,4075.3,7.738275051934017
0.80,3.2349181835464975,2.3874854651655246,3.611165129525177,0.6049351457759791,4034.9666666666667,8.213111736777602
0.85,3.1984425300154156,2.6283831027113296,3.614138669869705,0.6035921347201726,4059.6,7.1816521975270025
0.90,3.1790601840830197,2.5255097059907246,3.709141695233062,0.6063653147090599,4025.4333333333334,7.440405912307338
0.95,3.1970246171463685,2.6828554443504777,3.6299031214805497,0.6039415497739452,4079.0333333333333,7.186558848546013
1.0,3.215719298220195,2.4634033149252113,3.643427917802263,0.603662877792496,4071.5,6.765942566502929
