"",pf=80
0,0.45949628564480627
1,0.46175531267622283
2,0.46409405707397605
3,0.4660874755826607
4,0.468478476684035
5,0.469397067970692
6,0.47150470035817765
7,0.4722701459035908
8,0.4738675496769834
9,0.4756634359510438
10,0.47729997837212695
11,0.48004433706444294
12,0.4817860027073327
13,0.48370409946808235
14,0.48543619902103247
15,0.48754907266623554
16,0.4900517382741513
17,0.49141798978846574
18,0.4929440432083175
19,0.49553288762768577
20,0.49808096757241765
21,0.4998769671642251
22,0.5037909674124936
23,0.5060511903502862
24,0.5076179183992447
25,0.5096121022116209
26,0.5110283464152429
27,0.5113392813152428
28,0.5130854173209884
29,0.5128051539079029
30,0.5145958622613065
31,0.51640102763208
32,0.517005492344816
33,0.5171351837951421
34,0.5183987197501819
35,0.5200396960551892
36,0.5208422229118306
37,0.5211396361048931
38,0.5221893040951503
39,0.5205349418446068
40,0.5211945716286484
41,0.520829786185981
42,0.5227246469331187
43,0.5168058523649917
44,0.517981979356529
45,0.5183424724474226
46,0.5196957836100313
47,0.5215972719948216
48,0.522530565817684
49,0.5230348201328635
50,0.5252014071085195
51,0.5239517842340111
52,0.5256896145275288
53,0.5283717284185782
54,0.5303213072536176
55,0.5318555870099655
56,0.5307482046447408
57,0.5307741159381637
58,0.5292534364669719
59,0.5187322656540323
60,0.5212437582711886
61,0.5230157252602077
62,0.5242960955478256
63,0.5272215463536207
64,0.5274634633563328
65,0.5297671635503269
66,0.5430966418530253
67,0.5429705128889848
68,0.5164287845752424
69,0.5171362213460404
70,0.5175173475070496
71,0.5195512394107167
72,0.5250165972101171
"",10
