"",pf=60
0,0.4605725009820822
1,0.46369901523903634
2,0.464119612572725
3,0.4650667879607902
4,0.46586986989597456
5,0.4670149182860732
6,0.46913142622766085
7,0.4697483152371292
8,0.4718615976377652
9,0.4718174522433028
10,0.47344845779708833
11,0.4743733820085854
12,0.4757967838517262
13,0.47702340911547503
14,0.4784716025376803
15,0.4802720936176009
16,0.48347607731029735
17,0.4842709180510182
18,0.4853026682376823
19,0.48743611029120415
20,0.49099588814023865
21,0.49363449416856975
22,0.4953746703709041
23,0.49483827849087614
24,0.49805725193980205
25,0.5012691358183475
26,0.5030408806607531
27,0.5050598423535335
28,0.5043525773005313
29,0.5040828048790231
30,0.5043990026181877
31,0.5067940852074722
32,0.5073666060288501
33,0.5074006471837125
34,0.5107601082913912
35,0.5127045873091958
36,0.5139552587041661
37,0.5152833228434085
38,0.5148662982739105
39,0.5163413204699245
40,0.5160924726453157
41,0.5185220914193914
42,0.51906042265448
43,0.5244407280136999
44,0.5259186513235053
45,0.5279847552589131
46,0.5269895175785613
47,0.5246130746357699
48,0.5195616859648132
49,0.5207088123778679
50,0.5210858426429056
51,0.522160076231059
52,0.5194129485076207
53,0.5245144831095067
54,0.5251134487323469
55,0.5278107533213804
56,0.5278467180870732
57,0.527984789132949
58,0.5226305185548874
59,0.5187275979676353
60,0.5174486002766051
61,0.5153278183336674
62,0.5130261829334416
63,0.5216344961988388
64,0.5276769326210483
65,0.5262063263285781
66,0.5213166656180033
67,0.5226848625003595
68,0.526305855147283
69,0.5236663795121231
70,0.5259423998083034
71,0.5305941659742659
72,0.5328135044518828
73,0.5284890135106743
74,0.5333292917226168
75,0.5369740668046574
76,0.5378762031684327
77,0.5364490937240732
"",10
