result_cnt,update_rcv,update_sent,crit_update_cnt,avg_adpt_time,success_adpt_cnt,total_updates,violated_updates
2160,2073,2073,470,7.0,0,2073,1603
"",acc,agg_from
00:55:00,0.9908559326500579,76
01:55:00,1.0,82
02:55:00,0.9612323524390244,82
03:55:00,0.9317387443270719,82
04:55:00,0.44137928977636665,82
05:55:00,0.6692205050632908,79
06:55:00,0.6498422992108815,78
07:55:00,0.7343361553021945,80
08:55:00,0.7698492786886718,78
09:55:00,0.7601106294262129,79
10:55:00,0.8417747900195676,75
11:55:00,0.7454482262784535,69
12:55:00,0.6704124241957408,75
13:55:00,0.5122395254687098,69
14:55:00,0.4324370079215763,72
15:55:00,0.39423345575579805,76
16:55:00,0.41117915123136084,81
17:55:00,0.477905524255065,81
18:55:00,0.4476669620326083,81
19:55:00,0.5703048560817705,81
20:55:00,0.47631190032868875,78
21:55:00,0.6739227156359004,79
22:55:00,0.8018575446205934,79
23:55:00,0.916092553809678,81
